Id,SalePrice
1461,121203.050247428
1462,161060.475815545
1463,186394.441967734
1464,190697.648573604
1465,199766.716898807
1466,179980.430341157
1467,189442.865300804
1468,166561.137167564
1469,182425.33434529
1470,118943.766657217
1471,210414.864847175
1472,100262.664201016
1473,94847.6502433828
1474,150884.848614492
1475,122687.780392077
1476,390330.215801793
1477,237473.264794325
1478,290214.499278544
1479,277156.39281483
1480,452504.707678323
1481,342128.128299792
1482,219822.281439153
1483,174948.761620121
1484,169665.217561929
1485,178546.93485536
1486,198853.893612468
1487,324655.445279791
1488,242428.232734529
1489,194264.150772393
1490,215037.333464845
1491,185497.894238971
1492,92728.7468001877
1493,188282.314126577
1494,274825.196715175
1495,321131.52824615
1496,226506.788321321
1497,183816.539417779
1498,161565.985394842
1499,161378.046350898
1500,150760.250819512
1501,164881.393430213
1502,155105.704850161
1503,304686.02647806
1504,222627.093485677
1505,225829.474503717
1506,180376.060039829
1507,240074.647558541
1508,196232.969295074
1509,164300.653452276
1510,141797.812279544
1511,140940.449084756
1512,157728.333064948
1513,146777.823411227
1514,185341.478903176
1515,191148.824810466
1516,167404.833647701
1517,164504.555788705
1518,130457.520110638
1519,228260.002677266
1520,125719.260364316
1521,133970.067509038
1522,166513.828584354
1523,99913.8909738932
1524,118784.289893944
1525,118832.451934438
1526,121378.78122234
1527,105109.760167297
1528,145400.914776906
1529,141280.932722003
1530,184112.457088864
1531,120329.871659722
1532,111749.017263699
1533,151137.750019178
1534,126920.538126272
1535,163772.447471852
1536,110446.642131418
1537,83158.267843256
1538,189615.67650234
1539,212449.707893092
1540,111208.992560333
1541,156544.916165091
1542,148529.349905028
1543,212568.680496219
1544,83493.4438719392
1545,115695.253082532
1546,133191.353275335
1547,144230.360577734
1548,147054.211129694
1549,122625.713775172
1550,138121.743503907
1551,121884.6089822
1552,146971.194641835
1553,148513.011899221
1554,116131.794172709
1555,137850.297157299
1556,98873.6840162235
1557,113304.625617246
1558,98187.1819338934
1559,98495.0814943676
1560,138982.980927272
1561,138121.275818779
1562,123820.267796939
1563,112050.853571736
1564,172064.809015616
1565,154471.361326053
1566,244195.420836695
1567,72376.8251395161
1568,214377.815576873
1569,107536.740019192
1570,125836.56443699
1571,127863.920092561
1572,141669.523807444
1573,269471.840765297
1574,131095.318819264
1575,226933.095241477
1576,225839.835508905
1577,187785.787140908
1578,158279.005957254
1579,134392.849359119
1580,196304.894071032
1581,144888.372278644
1582,125134.424687149
1583,347684.523967707
1584,242513.079855251
1585,144416.792124721
1586,79954.693648908
1587,99727.2624978043
1588,143943.651689504
1589,104585.427200719
1590,139898.672146793
1591,93020.3596158878
1592,119056.517033599
1593,118736.625496341
1594,158118.170903991
1595,114819.684775458
1596,224607.158067303
1597,177174.014273694
1598,190518.791766756
1599,179635.94730476
1600,182650.343208838
1601,70192.8500536335
1602,116481.234196282
1603,97820.7672734682
1604,262502.000733779
1605,256258.537598562
1606,176145.256889027
1607,204811.15672437
1608,206846.666676165
1609,187707.973201148
1610,157998.803753683
1611,139332.509003316
1612,159643.156955762
1613,170346.207899331
1614,121412.346034449
1615,92382.6970192085
1616,79666.7089698633
1617,91034.2165515504
1618,123806.687100703
1619,142306.791404673
1620,174924.596010392
1621,147468.678437757
1622,144367.66875052
1623,282382.831298715
1624,217384.289011447
1625,119285.48244189
1626,171255.749651663
1627,198699.280093976
1628,296924.973053035
1629,176305.923144336
1630,336399.04447829
1631,218300.562553969
1632,235125.214655447
1633,167665.106208162
1634,182631.305453586
1635,173408.882031679
1636,161086.642699081
1637,178128.198295386
1638,207780.124323241
1639,178303.621094623
1640,271164.256627185
1641,189367.108903797
1642,221980.267593822
1643,221462.614993962
1644,216540.158263772
1645,186161.906821843
1646,159661.340229898
1647,159323.3382547
1648,136257.82937558
1649,136736.612691632
1650,124236.014836782
1651,127440.139542761
1652,98369.018359051
1653,102104.023770065
1654,144348.271550749
1655,149773.220644825
1656,148124.383039718
1657,145553.332058398
1658,148224.564584149
1659,118312.613836182
1660,152364.667597947
1661,442432.129451048
1662,385997.982311196
1663,369117.497107074
1664,486034.704997457
1665,298432.441154791
1666,325945.8958589
1667,378053.759506703
1668,317105.015718659
1669,293008.085689983
1670,340033.058662896
1671,275788.326483465
1672,443718.114904777
1673,304792.632501931
1674,258018.762271028
1675,192074.776668267
1676,191217.142836204
1677,212315.40823808
1678,460270.875255827
1679,395262.795487944
1680,324006.613969109
1681,252524.472187609
1682,303493.428914179
1683,189716.369368586
1684,184627.919603373
1685,168582.077028273
1686,169268.959531413
1687,167219.443892395
1688,194849.313070336
1689,197934.206365858
1690,191320.706153647
1691,182968.672031706
1692,279709.201215949
1693,170779.839615346
1694,188281.743398434
1695,166411.078175631
1696,283590.789164845
1697,176745.573051536
1698,369945.127796258
1699,298464.589238778
1700,238194.549549787
1701,267036.371618704
1702,249398.335806581
1703,247912.305353766
1704,310104.808396744
1705,222402.232799308
1706,455419.136563819
1707,206671.334056634
1708,208851.728623804
1709,285213.158954427
1710,231992.180959685
1711,263630.211871294
1712,250971.541695941
1713,274861.163183706
1714,222777.831923205
1715,204189.389577721
1716,195517.315186239
1717,177793.145235353
1718,151507.870902155
1719,193140.888433177
1720,252442.557617563
1721,178907.501637504
1722,124813.117510554
1723,155703.314957272
1724,214605.994773611
1725,238160.230272185
1726,90106.7600940082
1727,167247.9808908
1728,157226.585052011
1729,166740.48790117
1730,171576.41136481
1731,118325.968470742
1732,130629.952594585
1733,116573.732365856
1734,120761.243199712
1735,129999.083048485
1736,113446.110582586
1737,284262.840453157
1738,228653.163803638
1739,239095.260610945
1740,200468.627101318
1741,184519.979777346
1742,166005.606375232
1743,175596.79027338
1744,316621.67288115
1745,232140.724567251
1746,232228.952587284
1747,218077.686913414
1748,239260.966562106
1749,146722.359913608
1750,144880.477004659
1751,238134.744762066
1752,111193.726657081
1753,147731.281327145
1754,204665.897654323
1755,168106.196811224
1756,127015.266408818
1757,117533.930200672
1758,138310.020863438
1759,173950.132032671
1760,155468.699637728
1761,154593.226635729
1762,179623.507713456
1763,172943.964866781
1764,100131.472340055
1765,181908.691146022
1766,174451.58516359
1767,238923.816911947
1768,135823.120076704
1769,171951.88414864
1770,146236.370153276
1771,118851.769114549
1772,137655.034583551
1773,137187.641960728
1774,133325.112885809
1775,133500.680000503
1776,108459.145027658
1777,103505.050879726
1778,136915.344346188
1779,112931.314499039
1780,191948.533342012
1781,123556.873146979
1782,74314.7539721891
1783,148289.928590682
1784,100284.958198229
1785,115073.360854245
1786,120593.340434939
1787,174827.944534352
1788,56963.5887656144
1789,113632.59750046
1790,71801.5144208637
1791,203115.581090798
1792,150309.564971999
1793,143978.176820067
1794,154394.172777728
1795,130857.729959775
1796,109401.914238466
1797,139424.160240797
1798,118558.410814392
1799,108040.422337333
1800,101797.391331641
1801,139942.806163406
1802,155471.036615293
1803,149985.452138133
1804,135270.254128428
1805,135978.347814825
1806,126161.883301124
1807,150510.759637303
1808,134029.831395222
1809,128549.647609094
1810,144811.2664798
1811,99309.9230086543
1812,103372.363003402
1813,124247.419546017
1814,100349.158872957
